,1a. open (SAR),1b. open (USD),2a. high (SAR),2b. high (USD),3a. low (SAR),3b. low (USD),4a. close (SAR),4b. close (USD),5. volume,6. market cap (USD)
2020-08-19,44798.90304000,11945.10000000,45080.10803200,12020.08000000,43358.37440000,11561.00000000,44084.41433600,11754.59000000,73940.16960600,73940.16960600
2020-08-18,46059.22496000,12281.15000000,46459.09260800,12387.77000000,44321.96467200,11817.93000000,44798.56550400,11945.01000000,75923.83552700,75923.83552700
2020-08-17,44670.97689600,11910.99000000,46759.98720000,12468.00000000,44141.38291200,11769.78000000,46059.14995200,12281.13000000,84734.21154000,84734.21154000
2020-08-16,44451.24096000,11852.40000000,44748.72268800,11931.72000000,43827.17440000,11686.00000000,44671.01440000,11911.00000000,41368.23690600,41368.23690600
2020-08-15,44106.76672000,11760.55000000,44929.79200000,11980.00000000,43804.67200000,11680.00000000,44451.24096000,11852.40000000,56237.90505000,56237.90505000
2020-08-14,44178.84940800,11779.77000000,44442.24000000,11850.00000000,43632.26611200,11634.03000000,44106.72921600,11760.54000000,59818.85269700,59818.85269700
2020-08-13,43370.90073600,11564.34000000,44228.31718400,11792.96000000,42268.35814400,11270.36000000,44179.71200000,11780.00000000,70132.49150200,70132.49150200
2020-08-12,42724.89433600,11392.09000000,43570.34700800,11617.52000000,41816.96000000,11150.00000000,43370.86323200,11564.33000000,64909.61364400,64909.61364400
2020-08-11,44603.13216000,11892.90000000,44761.02400000,11935.00000000,41723.20000000,11125.00000000,42724.85683200,11392.08000000,90748.28463400,90748.28463400
2020-08-10,43811.01017600,11681.69000000,45257.38944000,12067.35000000,42942.08000000,11450.00000000,44603.20716800,11892.92000000,84952.33788700,84952.33788700
2020-08-09,44108.52940800,11761.02000000,44243.88134400,11797.11000000,43211.99628800,11521.97000000,43810.97267200,11681.68000000,41493.06734200,41493.06734200
